,position,team,lat,lon,dtf,dist_mg,status,datetime,race
2505,1,PSP Logistics,48.2006,-125.0327,3801.37,60,,4/30/18 18:00,west-north-america
2506,2,GREAT Britain,48.2098,-124.9174,3801.96,60,,4/30/18 18:00,west-north-america
2507,3,Hotelplanner.com,48.2246,-125.0138,3802.81,58,,4/30/18 18:00,west-north-america
2508,4,Dare To Lead,48.2253,-125.0299,3802.85,55,,4/30/18 18:00,west-north-america
2509,5,Unicef,48.2296,-125.0094,3803.11,53,,4/30/18 18:00,west-north-america
2510,6,Liverpool 2018,48.243,-124.9935,3803.92,61,,4/30/18 18:00,west-north-america
2511,7,Visit Seattle,48.264,-125.0146,3805.18,62,,4/30/18 18:00,west-north-america
2512,8,Nasdaq,48.2797,-124.9825,3806.13,57,,4/30/18 18:00,west-north-america
2513,9,Qingdao,48.2834,-124.9712,3806.35,63,,4/30/18 18:00,west-north-america
2514,10,Garmin,48.2976,-125.0414,3807.19,66,,4/30/18 18:00,west-north-america
2515,11,Sanya Serenity Coast,48.3207,-125.0078,3808.58,61,,4/30/18 18:00,west-north-america
2516,1,GREAT Britain,48.1066,-124.9889,3795.74,58,,4/30/18 19:00,west-north-america
2517,2,PSP Logistics,48.1208,-125.0483,3796.59,53,,4/30/18 19:00,west-north-america
2518,3,Dare To Lead,48.1454,-125.0492,3798.06,48,,4/30/18 19:00,west-north-america
2519,4,Unicef,48.1667,-125.032,3799.34,47,,4/30/18 19:00,west-north-america
2520,5,Hotelplanner.com,48.1791,-125.0718,3800.08,52,,4/30/18 19:00,west-north-america
2521,6,Visit Seattle,48.1801,-125.0505,3800.14,58,,4/30/18 19:00,west-north-america
2522,7,Nasdaq,48.1831,-125.0265,3800.32,51,,4/30/18 19:00,west-north-america
2523,8,Qingdao,48.1893,-125.02,3800.69,59,,4/30/18 19:00,west-north-america
2524,9,Sanya Serenity Coast,48.204,-125.0145,3801.58,55,,4/30/18 19:00,west-north-america
2525,10,Liverpool 2018,48.221,-125.01,3802.6,54,,4/30/18 19:00,west-north-america
2526,11,Garmin,48.2533,-125.0762,3804.54,61,,4/30/18 19:00,west-north-america
2527,1,GREAT Britain,47.9832,-125.0098,3788.33,55,,4/30/18 20:00,west-north-america
2528,2,PSP Logistics,48.047,-125.0387,3792.15,47,,4/30/18 20:00,west-north-america
2529,3,Dare To Lead,48.0666,-125.0328,3793.33,42,,4/30/18 20:00,west-north-america
2530,4,Nasdaq,48.0725,-125.0226,3793.69,45,,4/30/18 20:00,west-north-america
2531,5,Qingdao,48.0837,-125.0161,3794.36,53,,4/30/18 20:00,west-north-america
2532,6,Unicef,48.0864,-125.011,3794.52,41,,4/30/18 20:00,west-north-america
2533,7,Sanya Serenity Coast,48.0869,-125.0064,3794.55,50,,4/30/18 20:00,west-north-america
2534,8,Liverpool 2018,48.1055,-125.0168,3795.67,48,,4/30/18 20:00,west-north-america
2535,9,Visit Seattle,48.1062,-125.0708,3795.71,54,,4/30/18 20:00,west-north-america
2536,10,Hotelplanner.com,48.1288,-125.0965,3797.07,47,,4/30/18 20:00,west-north-america
2537,11,Garmin,48.1477,-125.089,3798.2,56,,4/30/18 20:00,west-north-america
2538,1,GREAT Britain,47.9565,-124.959,3786.74,48,,4/30/18 21:00,west-north-america
2539,2,Sanya Serenity Coast,47.9664,-124.9525,3787.34,46,,4/30/18 21:00,west-north-america
2540,3,Nasdaq,47.9721,-124.964,3787.68,41,,4/30/18 21:00,west-north-america
2541,4,PSP Logistics,47.9733,-124.981,3787.74,41,,4/30/18 21:00,west-north-america
2542,5,Liverpool 2018,47.9756,-124.9974,3787.88,44,,4/30/18 21:00,west-north-america
2543,6,Dare To Lead,47.9786,-124.9687,3788.06,36,,4/30/18 21:00,west-north-america
2544,7,Qingdao,47.9815,-124.9587,3788.24,48,,4/30/18 21:00,west-north-america
2545,8,Unicef,47.986,-124.984,3788.51,37,,4/30/18 21:00,west-north-america
2546,9,Hotelplanner.com,48.0269,-125.0174,3790.95,39,,4/30/18 21:00,west-north-america
2547,10,Visit Seattle,48.0363,-125.0422,3791.52,48,,4/30/18 21:00,west-north-america
2548,11,Garmin,48.0395,-125.0182,3791.71,48,,4/30/18 21:00,west-north-america
2549,1,Nasdaq,47.9096,-124.9738,3783.92,39,,4/30/18 22:00,west-north-america
2550,2,Hotelplanner.com,47.9156,-124.9645,3784.29,36,,4/30/18 22:00,west-north-america
2551,3,PSP Logistics,47.9192,-124.9769,3784.5,38,,4/30/18 22:00,west-north-america
2552,4,Qingdao,47.9202,-124.9709,3784.56,45,,4/30/18 22:00,west-north-america
2553,5,Sanya Serenity Coast,47.9244,-124.9725,3784.82,44,,4/30/18 22:00,west-north-america
2554,6,Liverpool 2018,47.9245,-124.9785,3784.82,40,,4/30/18 22:00,west-north-america
2555,7,Dare To Lead,47.9261,-124.9737,3784.91,34,,4/30/18 22:00,west-north-america
2556,8,Garmin,47.9279,-124.9742,3785.02,45,,4/30/18 22:00,west-north-america
2557,9,Visit Seattle,47.9324,-124.984,3785.29,44,,4/30/18 22:00,west-north-america
2558,10,Unicef,47.9339,-124.9655,3785.38,34,,4/30/18 22:00,west-north-america
2559,11,GREAT Britain,47.9361,-124.9669,3785.52,44,,4/30/18 22:00,west-north-america
2560,1,Nasdaq,47.8503,-125.011,3780.36,40,,4/30/18 23:00,west-north-america
2561,2,Garmin,47.8505,-125.0087,3780.37,45,,4/30/18 23:00,west-north-america
2562,3,Hotelplanner.com,47.8507,-125.0098,3780.38,38,,4/30/18 23:00,west-north-america
2563,4,Unicef,47.851,-125.0123,3780.4,37,,4/30/18 23:00,west-north-america
2564,5,Dare To Lead,47.8514,-125.0154,3780.43,37,,4/30/18 23:00,west-north-america
2565,6,Qingdao,47.8515,-125.0133,3780.43,44,,4/30/18 23:00,west-north-america
2566,7,PSP Logistics,47.8517,-125.0142,3780.44,39,,4/30/18 23:00,west-north-america
2567,8,Liverpool 2018,47.8517,-125.0161,3780.44,41,,4/30/18 23:00,west-north-america
2568,9,GREAT Britain,47.8518,-125.0146,3780.45,45,,4/30/18 23:00,west-north-america
2569,10,Visit Seattle,47.852,-125.0181,3780.46,45,,4/30/18 23:00,west-north-america
2570,11,Sanya Serenity Coast,47.852,-125.017,3780.46,46,,4/30/18 23:00,west-north-america
2571,1,Garmin,47.6761,-125.0124,3769.91,51,racing,5/1/18 0:00,west-north-america
2572,2,Qingdao,47.6778,-125.0214,3770.01,49,racing,5/1/18 0:00,west-north-america
2573,3,PSP Logistics,47.6838,-125.0176,3770.37,46,racing,5/1/18 0:00,west-north-america
2574,4,Nasdaq,47.6842,-125.0921,3770.39,48,racing,5/1/18 0:00,west-north-america
2575,5,Sanya Serenity Coast,47.687,-125.108,3770.56,54,racing,5/1/18 0:00,west-north-america
2576,6,Hotelplanner.com,47.6872,-125.0705,3770.57,46,racing,5/1/18 0:00,west-north-america
2577,7,Visit Seattle,47.6877,-125.0633,3770.6,52,racing,5/1/18 0:00,west-north-america
2578,8,Liverpool 2018,47.689,-125.0837,3770.68,48,racing,5/1/18 0:00,west-north-america
2579,9,Unicef,47.6905,-125.0977,3770.77,46,racing,5/1/18 0:00,west-north-america
2580,10,Dare To Lead,47.6938,-125.117,3770.97,47,racing,5/1/18 0:00,west-north-america
2581,11,GREAT Britain,47.6942,-125.1203,3771.0,53,racing,5/1/18 0:00,west-north-america
2582,1,Garmin,47.4806,-125.0197,3759.02,62,racing,5/1/18 1:00,west-north-america
2583,2,Visit Seattle,47.4936,-125.0857,3759.1,62,racing,5/1/18 1:00,west-north-america
2584,3,Qingdao,47.4844,-125.0221,3759.2,57,racing,5/1/18 1:00,west-north-america
2585,4,PSP Logistics,47.4904,-125.0363,3759.35,57,racing,5/1/18 1:00,west-north-america
2586,5,Nasdaq,47.5056,-125.1571,3759.73,57,racing,5/1/18 1:00,west-north-america
2587,6,Hotelplanner.com,47.512,-125.1546,3760.11,57,racing,5/1/18 1:00,west-north-america
2588,7,Liverpool 2018,47.5123,-125.1556,3760.13,58,racing,5/1/18 1:00,west-north-america
2589,8,Sanya Serenity Coast,47.5082,-125.1986,3760.13,64,racing,5/1/18 1:00,west-north-america
2590,9,Unicef,47.5182,-125.1873,3760.64,57,racing,5/1/18 1:00,west-north-america
2591,10,Dare To Lead,47.5182,-125.2037,3760.76,57,racing,5/1/18 1:00,west-north-america
2592,11,GREAT Britain,47.5221,-125.24,3761.36,63,racing,5/1/18 1:00,west-north-america
2593,1,Garmin,47.2839,-125.0269,3746.37,72,racing,5/1/18 2:00,west-north-america
2594,2,Visit Seattle,47.2994,-125.1229,3747.37,70,racing,5/1/18 2:00,west-north-america
2595,3,PSP Logistics,47.2973,-125.061,3749.41,65,racing,5/1/18 2:00,west-north-america
2596,4,Qingdao,47.2921,-125.0273,3750.72,68,racing,5/1/18 2:00,west-north-america
2597,5,Nasdaq,47.3212,-125.2208,3750.77,65,racing,5/1/18 2:00,west-north-america
2598,6,Hotelplanner.com,47.341,-125.2312,3751.79,63,racing,5/1/18 2:00,west-north-america
