,index,position,team,lat,lon,dtf,dif,dist_mg,last_report,status,finish_time,datetime
224,5,6,Dare To Lead,42.930440000000004,179.36181000000002,2511.25,2511.25,109,09 April 2018 18.00 (UTC),racing,,2018-04-09 18:00:00
984,5,6,Dare To Lead,42.96386,179.59736999999998,2501.54,2501.54,109,09 April 2018 19.00 (UTC),racing,,2018-04-09 19:00:00
12512,4,5,Dare To Lead,42.99881,179.83276,2491.85,2491.85,110,09 April 2018 20.00 (UTC),racing,,2018-04-09 20:00:00
7023,4,5,Dare To Lead,43.05854,-179.98121,2483.13,2483.13,108,09 April 2018 21.00 (UTC),racing,,2018-04-09 21:00:00
580,4,5,Dare To Lead,43.13601,-179.75408000000002,2472.33,2472.33,108,09 April 2018 22.00 (UTC),racing,,2018-04-09 22:00:00
10767,4,5,Dare To Lead,43.2098,-179.52784,2461.73,2461.73,109,09 April 2018 23.00 (UTC),racing,,2018-04-09 23:00:00
7258,4,5,Dare To Lead,43.25813,-179.28603999999999,2451.54,2451.54,110,10 April 2018 00.00 (UTC),racing,,2018-04-10 00:00:00
11845,4,5,Dare To Lead,43.30764,-179.04261,2441.35,2441.35,111,10 April 2018 01.00 (UTC),racing,,2018-04-10 01:00:00
11457,4,5,Dare To Lead,43.356770000000004,-178.78744,2430.89,2430.89,113,10 April 2018 02.00 (UTC),racing,,2018-04-10 02:00:00
300,4,5,Dare To Lead,43.40616,-178.54346999999999,2420.94,2420.94,115,10 April 2018 03.00 (UTC),racing,,2018-04-10 03:00:00
14763,3,4,Dare To Lead,43.463159999999995,-178.31400000000002,2411.28,2411.28,116,10 April 2018 04.00 (UTC),racing,,2018-04-10 04:00:00
4768,4,5,Dare To Lead,43.42941,-178.11386000000002,2406.57,2406.57,114,10 April 2018 05.00 (UTC),racing,,2018-04-10 05:00:00
3100,4,5,Dare To Lead,43.2916,-177.98592,2409.12,2409.12,107,10 April 2018 06.00 (UTC),racing,,2018-04-10 06:00:00
8255,4,5,Dare To Lead,43.24556,-177.83586,2407.29,2407.29,103,10 April 2018 07.00 (UTC),racing,,2018-04-10 07:00:00
12540,4,5,Dare To Lead,43.275240000000004,-177.69173999999998,2402.19,2402.19,101,10 April 2018 08.00 (UTC),racing,,2018-04-10 08:00:00
6538,4,5,Dare To Lead,43.3406,-177.54996,2395.48,2395.48,97,10 April 2018 09.00 (UTC),racing,,2018-04-10 09:00:00
5058,4,5,Dare To Lead,43.34117,-177.43336000000002,2392.74,2392.74,91,10 April 2018 10.00 (UTC),racing,,2018-04-10 10:00:00
14014,4,5,Dare To Lead,43.2868,-177.30533,2392.79,2392.79,86,10 April 2018 11.00 (UTC),racing,,2018-04-10 11:00:00
8955,5,6,Dare To Lead,43.24995,-177.21681999999998,2393.0,2393.0,79,10 April 2018 12.00 (UTC),racing,,2018-04-10 12:00:00
2843,6,7,Dare To Lead,43.216840000000005,-177.07686999999999,2392.26,2392.26,75,10 April 2018 13.00 (UTC),racing,,2018-04-10 13:00:00
13462,6,7,Dare To Lead,43.200509999999994,-176.94503,2391.04,2391.04,70,10 April 2018 14.00 (UTC),racing,,2018-04-10 14:00:00
6050,6,7,Dare To Lead,43.22092,-176.80168,2387.84,2387.84,67,10 April 2018 15.00 (UTC),racing,,2018-04-10 15:00:00
1606,5,6,Dare To Lead,43.2827,-176.64243000000002,2382.33,2382.33,64,10 April 2018 16.00 (UTC),racing,,2018-04-10 16:00:00
9762,5,6,Dare To Lead,43.30853,-176.48989,2379.3,2379.3,65,10 April 2018 17.00 (UTC),racing,,2018-04-10 17:00:00
15141,6,7,Dare To Lead,43.30454,-176.28689,2378.12,2378.12,67,10 April 2018 18.00 (UTC),racing,,2018-04-10 18:00:00
3928,6,7,Dare To Lead,43.313990000000004,-176.08383999999998,2376.87,2376.87,70,10 April 2018 19.00 (UTC),racing,,2018-04-10 19:00:00
9599,6,7,Dare To Lead,43.32417,-175.88588000000001,2376.32,2376.32,72,10 April 2018 20.00 (UTC),racing,,2018-04-10 20:00:00
2249,8,9,Dare To Lead,43.341609999999996,-175.69118,2376.03,2376.03,76,10 April 2018 21.00 (UTC),racing,,2018-04-10 21:00:00
5409,4,5,Dare To Lead,43.37278,-175.49367,2271.35,2271.35,79,10 April 2018 22.00 (UTC),racing,,2018-04-10 22:00:00
13639,4,5,Dare To Lead,43.423790000000004,-175.34288,2264.18,2264.18,82,10 April 2018 23.00 (UTC),racing,,2018-04-10 23:00:00
4135,4,5,Dare To Lead,43.47911,-175.15554,2255.41,2255.41,85,11 April 2018 00.00 (UTC),racing,,2018-04-11 00:00:00
14958,4,5,Dare To Lead,43.53,-174.95858,2246.33,2246.33,88,11 April 2018 01.00 (UTC),racing,,2018-04-11 01:00:00
8030,4,5,Dare To Lead,43.54005,-174.75158000000002,2237.51,2237.51,91,11 April 2018 02.00 (UTC),racing,,2018-04-11 02:00:00
3736,4,5,Dare To Lead,43.56901,-174.51223000000002,2227.03,2227.03,94,11 April 2018 03.00 (UTC),racing,,2018-04-11 03:00:00
12470,4,5,Dare To Lead,43.5519,-174.25739,2216.69,2216.69,98,11 April 2018 04.00 (UTC),racing,,2018-04-11 04:00:00
7064,4,5,Dare To Lead,43.549240000000005,-174.01199,2206.52,2206.52,100,11 April 2018 05.00 (UTC),racing,,2018-04-11 05:00:00
550,4,5,Dare To Lead,43.521,-173.78808999999998,2197.73,2197.73,100,11 April 2018 06.00 (UTC),racing,,2018-04-11 06:00:00
10778,4,5,Dare To Lead,43.47318,-173.57718,2189.88,2189.88,101,11 April 2018 07.00 (UTC),racing,,2018-04-11 07:00:00
14248,4,5,Dare To Lead,43.40488,-173.37052,2182.68,2182.68,101,11 April 2018 08.00 (UTC),racing,,2018-04-11 08:00:00
4823,4,5,Dare To Lead,43.30595,-173.16369,2176.23,2176.23,101,11 April 2018 09.00 (UTC),racing,,2018-04-11 09:00:00
6328,4,5,Dare To Lead,43.21797,-172.9549,2169.66,2169.66,104,11 April 2018 10.00 (UTC),racing,,2018-04-11 10:00:00
12766,4,5,Dare To Lead,43.12171,-172.76599,2164.27,2164.27,106,11 April 2018 11.00 (UTC),racing,,2018-04-11 11:00:00
10542,4,5,Dare To Lead,43.171409999999995,-172.62121000000002,2157.27,2157.27,104,11 April 2018 12.00 (UTC),racing,,2018-04-11 12:00:00
1268,4,5,Dare To Lead,43.25165,-172.45719,2148.78,2148.78,101,11 April 2018 13.00 (UTC),racing,,2018-04-11 13:00:00
13768,4,5,Dare To Lead,43.331920000000004,-172.28785,2140.1,2140.1,97,11 April 2018 14.00 (UTC),racing,,2018-04-11 14:00:00
5782,4,5,Dare To Lead,43.437909999999995,-172.12839,2131.27,2131.27,92,11 April 2018 15.00 (UTC),racing,,2018-04-11 15:00:00
2070,4,5,Dare To Lead,43.51279,-171.95876,2122.75,2122.75,89,11 April 2018 16.00 (UTC),racing,,2018-04-11 16:00:00
9300,4,5,Dare To Lead,43.61088,-171.82858000000002,2115.37,2115.37,85,11 April 2018 17.00 (UTC),racing,,2018-04-11 17:00:00
11658,5,6,Dare To Lead,43.62102,-171.62858,2107.02,2107.02,85,11 April 2018 18.00 (UTC),racing,,2018-04-11 18:00:00
7489,5,6,Dare To Lead,43.60903,-171.42551,2099.06,2099.06,85,11 April 2018 19.00 (UTC),racing,,2018-04-11 19:00:00
9955,5,6,Dare To Lead,43.55682,-171.21322,2091.71,2091.71,86,11 April 2018 20.00 (UTC),racing,,2018-04-11 20:00:00
1914,5,6,Dare To Lead,43.51455,-170.99321,2083.96,2083.96,87,11 April 2018 21.00 (UTC),racing,,2018-04-11 21:00:00
5965,5,6,Dare To Lead,43.47173,-170.76549,2076.06,2076.06,89,11 April 2018 22.00 (UTC),racing,,2018-04-11 22:00:00
13071,5,6,Dare To Lead,43.42713,-170.53044,2068.1,2068.1,92,11 April 2018 23.00 (UTC),racing,,2018-04-11 23:00:00
920,5,6,Dare To Lead,43.39092,-170.27806999999999,2059.44,2059.44,95,12 April 2018 00.00 (UTC),racing,,2018-04-12 00:00:00
10917,5,6,Dare To Lead,43.3561,-170.03028999999998,2051.14,2051.14,98,12 April 2018 01.00 (UTC),racing,,2018-04-12 01:00:00
