,position,team,lat,lon,dtf,dist_mg,status,datetime,race
0,1,Sanya Serenity Coast,43.7914,-179.7229,2450.93,122,racing,4/9/18 18:00,pacific
1,2,PSP Logistics,43.7566,179.691,2474.89,122,racing,4/9/18 18:00,pacific
2,3,Qingdao,42.7911,-179.7394,2484.66,124,racing,4/9/18 18:00,pacific
3,4,Hotelplanner.com,44.7945,178.5519,2507.48,106,racing,4/9/18 18:00,pacific
4,5,Unicef,42.4677,179.8609,2510.71,108,racing,4/9/18 18:00,pacific
5,6,Dare To Lead,42.9304,179.3618,2511.25,109,racing,4/9/18 18:00,pacific
6,7,Garmin,42.765,178.1799,2560.73,101,racing,4/9/18 18:00,pacific
7,8,Nasdaq,43.076,177.7358,2569.36,122,racing,4/9/18 18:00,pacific
8,9,Visit Seattle,44.8752,176.0858,2611.72,124,racing,4/9/18 18:00,pacific
9,10,Liverpool 2018,43.216,176.4043,2619.77,112,racing,4/9/18 18:00,pacific
10,11,GREAT Britain,45.3068,173.6239,2734.34,112,racing,4/9/18 18:00,pacific
11,1,Sanya Serenity Coast,43.8244,-179.4744,2440.39,121,racing,4/9/18 19:00,pacific
12,2,PSP Logistics,43.8498,179.91,2463.97,122,racing,4/9/18 19:00,pacific
13,3,Qingdao,42.8378,-179.5138,2475.34,124,racing,4/9/18 19:00,pacific
14,4,Hotelplanner.com,44.665,178.7358,2500.49,103,racing,4/9/18 19:00,pacific
15,5,Unicef,42.5349,-179.915,2500.65,118,racing,4/9/18 19:00,pacific
16,6,Dare To Lead,42.9639,179.5974,2501.54,109,racing,4/9/18 19:00,pacific
17,7,Garmin,42.8365,178.3792,2550.99,102,racing,4/9/18 19:00,pacific
18,8,Nasdaq,43.1462,177.9653,2558.47,120,racing,4/9/18 19:00,pacific
19,9,Visit Seattle,44.9581,176.3437,2600.48,124,racing,4/9/18 19:00,pacific
20,10,Liverpool 2018,43.2974,176.6147,2609.45,111,racing,4/9/18 19:00,pacific
21,11,GREAT Britain,45.2124,173.8444,2723.46,107,racing,4/9/18 19:00,pacific
22,1,Sanya Serenity Coast,43.877,-179.206,2428.61,122,racing,4/9/18 20:00,pacific
23,2,PSP Logistics,43.9415,-179.8735,2453.21,122,racing,4/9/18 20:00,pacific
24,3,Qingdao,42.8798,-179.2647,2465.56,124,racing,4/9/18 20:00,pacific
25,4,Unicef,42.6043,-179.6947,2490.68,118,racing,4/9/18 20:00,pacific
26,5,Dare To Lead,42.9988,179.8328,2491.85,110,racing,4/9/18 20:00,pacific
27,6,Hotelplanner.com,44.5602,178.9335,2492.99,102,racing,4/9/18 20:00,pacific
28,7,Garmin,42.9286,178.5472,2541.83,103,racing,4/9/18 20:00,pacific
29,8,Nasdaq,43.2037,178.2129,2547.2,120,racing,4/9/18 20:00,pacific
30,9,Visit Seattle,45.0544,176.597,2589.48,125,racing,4/9/18 20:00,pacific
31,10,Liverpool 2018,43.3828,176.8156,2599.46,110,racing,4/9/18 20:00,pacific
32,11,GREAT Britain,45.1208,174.0779,2712.23,104,racing,4/9/18 20:00,pacific
33,1,Sanya Serenity Coast,43.9503,-178.9435,2416.51,123,racing,4/9/18 21:00,pacific
34,2,PSP Logistics,44.0571,-179.6763,2442.74,121,racing,4/9/18 21:00,pacific
35,3,Qingdao,42.9593,-179.0184,2454.44,125,racing,4/9/18 21:00,pacific
36,4,Unicef,42.6745,-179.4558,2480.15,119,racing,4/9/18 21:00,pacific
37,5,Dare To Lead,43.0585,-179.9812,2483.13,108,racing,4/9/18 21:00,pacific
38,6,Hotelplanner.com,44.4524,179.1366,2485.52,103,racing,4/9/18 21:00,pacific
39,7,Garmin,43.0205,178.7293,2532.16,104,racing,4/9/18 21:00,pacific
40,8,Nasdaq,43.2713,178.463,2535.58,120,racing,4/9/18 21:00,pacific
41,9,Visit Seattle,45.1319,176.8448,2578.86,125,racing,4/9/18 21:00,pacific
42,10,Liverpool 2018,43.4663,177.0032,2590.07,112,racing,4/9/18 21:00,pacific
43,11,GREAT Britain,45.026,174.2901,2701.62,101,racing,4/9/18 21:00,pacific
44,1,Sanya Serenity Coast,44.0448,-178.6702,2403.44,125,racing,4/9/18 22:00,pacific
45,2,PSP Logistics,44.1904,-179.4908,2432.48,121,racing,4/9/18 22:00,pacific
46,3,Qingdao,43.0418,-178.7831,2443.62,124,racing,4/9/18 22:00,pacific
47,4,Unicef,42.7536,-179.224,2469.54,120,racing,4/9/18 22:00,pacific
48,5,Dare To Lead,43.136,-179.7541,2472.33,108,racing,4/9/18 22:00,pacific
49,6,Hotelplanner.com,44.3535,179.3257,2478.78,104,racing,4/9/18 22:00,pacific
50,7,Garmin,43.1043,178.9384,2521.7,106,racing,4/9/18 22:00,pacific
51,8,Nasdaq,43.349,178.6865,2524.77,120,racing,4/9/18 22:00,pacific
52,9,Visit Seattle,45.2332,177.0608,2569.68,125,racing,4/9/18 22:00,pacific
53,10,Liverpool 2018,43.5816,177.1704,2580.94,111,racing,4/9/18 22:00,pacific
54,11,GREAT Britain,44.9196,174.4887,2691.05,100,racing,4/9/18 22:00,pacific
55,1,Sanya Serenity Coast,44.1206,-178.3898,2390.62,126,racing,4/9/18 23:00,pacific
56,2,PSP Logistics,44.3206,-179.2802,2421.44,121,racing,4/9/18 23:00,pacific
57,3,Qingdao,43.1248,-178.5409,2432.66,124,racing,4/9/18 23:00,pacific
58,4,Unicef,42.8356,-178.9988,2459.09,121,racing,4/9/18 23:00,pacific
59,5,Dare To Lead,43.2098,-179.5278,2461.73,109,racing,4/9/18 23:00,pacific
60,6,Hotelplanner.com,44.2417,179.5145,2472.5,107,racing,4/9/18 23:00,pacific
61,7,Garmin,43.1926,179.1268,2511.92,106,racing,4/9/18 23:00,pacific
62,8,Nasdaq,43.4511,178.8887,2514.19,119,racing,4/9/18 23:00,pacific
63,9,Visit Seattle,45.2576,177.2826,2560.33,123,racing,4/9/18 23:00,pacific
64,10,Liverpool 2018,43.4779,177.3452,2575.82,104,racing,4/9/18 23:00,pacific
65,11,GREAT Britain,44.8347,174.6989,2680.89,100,racing,4/9/18 23:00,pacific
66,1,Sanya Serenity Coast,44.2081,-178.1117,2377.6,128,racing,4/10/18 0:00,pacific
67,2,PSP Logistics,44.446,-179.0645,2410.44,122,racing,4/10/18 0:00,pacific
68,3,Qingdao,43.2125,-178.3109,2421.97,123,racing,4/10/18 0:00,pacific
69,4,Unicef,42.9214,-178.7797,2448.73,120,racing,4/10/18 0:00,pacific
70,5,Dare To Lead,43.2581,-179.286,2451.54,110,racing,4/10/18 0:00,pacific
71,6,Hotelplanner.com,44.0962,179.716,2466.65,114,racing,4/10/18 0:00,pacific
72,7,Garmin,43.2564,179.2852,2504.01,103,racing,4/10/18 0:00,pacific
73,8,Nasdaq,43.546,179.0688,2504.7,118,racing,4/10/18 0:00,pacific
74,9,Visit Seattle,45.1698,177.486,2551.71,118,racing,4/10/18 0:00,pacific
75,10,Liverpool 2018,43.3755,177.5214,2570.82,98,racing,4/10/18 0:00,pacific
76,11,GREAT Britain,44.746,174.8933,2671.18,101,racing,4/10/18 0:00,pacific
