,position,team,lat,lon,dtf,dist_mg,status,datetime,race
14123,1,Dare To Lead,55.2101,-6.9471,1034.46,17,racing,7/22/18 17:00,british-isles
14124,2,Sanya Serenity Coast,55.2088,-6.9483,1034.53,17,racing,7/22/18 17:00,british-isles
14125,3,Unicef,55.202,-6.9705,1035.39,16,racing,7/22/18 17:00,british-isles
14126,4,PSP Logistics,55.1991,-6.971,1035.49,16,racing,7/22/18 17:00,british-isles
14127,5,Hotelplanner.com,55.2018,-6.9741,1035.51,16,racing,7/22/18 17:00,british-isles
14128,6,Qingdao,55.2007,-6.9733,1035.51,16,racing,7/22/18 17:00,british-isles
14129,7,Visit Seattle,55.1956,-6.9741,1035.78,16,racing,7/22/18 17:00,british-isles
14130,8,Liverpool 2018,55.1958,-6.9805,1035.87,16,racing,7/22/18 17:00,british-isles
14131,9,Nasdaq,55.1954,-6.9798,1035.88,16,racing,7/22/18 17:00,british-isles
14132,10,Garmin,55.1933,-6.9852,1036.1,15,racing,7/22/18 17:00,british-isles
14133,11,GREAT Britain,55.1978,-6.9917,1036.18,16,racing,7/22/18 17:00,british-isles
14134,1,Dare To Lead,55.2548,-6.9252,1030.72,20,racing,7/22/18 18:00,british-isles
14135,2,Sanya Serenity Coast,55.2545,-6.9133,1030.98,20,racing,7/22/18 18:00,british-isles
14136,3,Qingdao,55.2509,-6.9113,1031.19,20,racing,7/22/18 18:00,british-isles
14137,4,PSP Logistics,55.248,-6.9156,1031.42,19,racing,7/22/18 18:00,british-isles
14138,5,Hotelplanner.com,55.2435,-6.911,1031.62,19,racing,7/22/18 18:00,british-isles
14139,6,Visit Seattle,55.2446,-6.918,1031.62,19,racing,7/22/18 18:00,british-isles
14140,7,Unicef,55.2453,-6.9208,1031.66,19,racing,7/22/18 18:00,british-isles
14141,8,Garmin,55.2387,-6.9013,1031.99,19,racing,7/22/18 18:00,british-isles
14142,9,Liverpool 2018,55.2358,-6.8982,1032.2,19,racing,7/22/18 18:00,british-isles
14143,10,Nasdaq,55.2314,-6.9156,1032.36,19,racing,7/22/18 18:00,british-isles
14144,11,GREAT Britain,55.2281,-6.8964,1032.64,19,racing,7/22/18 18:00,british-isles
14145,1,Qingdao,55.2856,-6.9548,1028.64,20,racing,7/22/18 19:00,british-isles
14146,2,Sanya Serenity Coast,55.2805,-6.9615,1028.75,20,racing,7/22/18 19:00,british-isles
14147,3,Dare To Lead,55.2751,-6.9728,1028.81,20,racing,7/22/18 19:00,british-isles
14148,4,Garmin,55.2822,-6.9498,1028.9,20,racing,7/22/18 19:00,british-isles
14149,5,Unicef,55.2801,-6.9545,1028.91,20,racing,7/22/18 19:00,british-isles
14150,6,Hotelplanner.com,55.2785,-6.9581,1028.92,20,racing,7/22/18 19:00,british-isles
14151,7,PSP Logistics,55.2734,-6.966,1029.02,20,racing,7/22/18 19:00,british-isles
14152,8,Visit Seattle,55.2692,-6.9719,1029.13,19,racing,7/22/18 19:00,british-isles
14153,9,Liverpool 2018,55.259,-6.9376,1030.28,20,racing,7/22/18 19:00,british-isles
14154,10,Nasdaq,55.2625,-6.9264,1030.33,20,racing,7/22/18 19:00,british-isles
14155,11,GREAT Britain,55.2614,-6.9003,1030.91,20,racing,7/22/18 19:00,british-isles
14156,1,Visit Seattle,55.3491,-6.994,1024.81,23,racing,7/22/18 20:00,british-isles
14157,2,Hotelplanner.com,55.3425,-7.0065,1024.84,22,racing,7/22/18 20:00,british-isles
14158,3,Garmin,55.3381,-7.0153,1024.87,22,racing,7/22/18 20:00,british-isles
14159,4,Sanya Serenity Coast,55.3452,-6.9976,1024.91,23,racing,7/22/18 20:00,british-isles
14160,5,PSP Logistics,55.3474,-6.9926,1024.92,23,racing,7/22/18 20:00,british-isles
14161,6,Dare To Lead,55.3445,-6.9986,1024.92,23,racing,7/22/18 20:00,british-isles
14162,7,Qingdao,55.3464,-6.993,1024.96,23,racing,7/22/18 20:00,british-isles
14163,8,Unicef,55.3273,-7.0148,1025.41,21,racing,7/22/18 20:00,british-isles
14164,9,Nasdaq,55.2944,-6.9857,1027.6,20,racing,7/22/18 20:00,british-isles
14165,10,Liverpool 2018,55.2899,-6.9917,1027.71,20,racing,7/22/18 20:00,british-isles
14166,11,GREAT Britain,55.2902,-6.9769,1027.98,20,racing,7/22/18 20:00,british-isles
14167,1,Garmin,55.406,-7.051,1020.99,25,racing,7/22/18 21:00,british-isles
14168,2,Sanya Serenity Coast,55.3988,-7.0495,1021.33,25,racing,7/22/18 21:00,british-isles
14169,3,Hotelplanner.com,55.4053,-7.0372,1021.36,25,racing,7/22/18 21:00,british-isles
14170,4,Dare To Lead,55.4004,-7.042,1021.44,25,racing,7/22/18 21:00,british-isles
14171,5,Unicef,55.3887,-7.0603,1021.54,24,racing,7/22/18 21:00,british-isles
14172,6,Visit Seattle,55.3988,-7.0357,1021.66,25,racing,7/22/18 21:00,british-isles
14173,7,Qingdao,55.3991,-7.009,1022.32,25,racing,7/22/18 21:00,british-isles
14174,8,PSP Logistics,55.3802,-7.025,1022.72,24,racing,7/22/18 21:00,british-isles
14175,9,Nasdaq,55.3525,-7.0092,1024.32,23,racing,7/22/18 21:00,british-isles
14176,10,GREAT Britain,55.3425,-7.0055,1024.87,22,racing,7/22/18 21:00,british-isles
14177,11,Liverpool 2018,55.3236,-7.0181,1025.53,21,racing,7/22/18 21:00,british-isles
14178,1,Sanya Serenity Coast,55.4346,-7.1541,1017.41,26,racing,7/22/18 22:00,british-isles
14179,2,Garmin,55.4269,-7.1502,1017.88,25,racing,7/22/18 22:00,british-isles
14180,3,Dare To Lead,55.4288,-7.1417,1017.94,26,racing,7/22/18 22:00,british-isles
