,position,team,lat,lon,dtf,dist_mg,status,datetime,race
6976,1,Liverpool 2018,10.2925,-79.5374,1921.09,60,racing,6/3/18 23:00,east-north-america
6977,2,Hotelplanner.com,10.29,-79.5214,1921.4,60,racing,6/3/18 23:00,east-north-america
6978,3,Garmin,10.2873,-79.5243,1921.53,60,racing,6/3/18 23:00,east-north-america
6979,4,Unicef,10.2857,-79.5323,1921.54,60,racing,6/3/18 23:00,east-north-america
6980,5,GREAT Britain,10.2871,-79.5205,1921.58,60,racing,6/3/18 23:00,east-north-america
6981,6,Qingdao,10.2848,-79.5262,1921.66,60,racing,6/3/18 23:00,east-north-america
6982,7,Sanya Serenity Coast,10.2835,-79.5281,1921.71,60,racing,6/3/18 23:00,east-north-america
6983,8,Dare To Lead,10.2841,-79.5232,1921.73,60,racing,6/3/18 23:00,east-north-america
6984,9,Visit Seattle,10.2831,-79.5252,1921.77,60,racing,6/3/18 23:00,east-north-america
6985,10,PSP Logistics,10.2778,-79.5196,1922.14,60,racing,6/3/18 23:00,east-north-america
6986,11,Nasdaq,10.2049,-79.4112,1927.99,59,racing,6/3/18 23:00,east-north-america
6987,1,Liverpool 2018,10.4218,-79.585,1913.03,63,racing,6/4/18 0:00,east-north-america
6988,2,Hotelplanner.com,10.4138,-79.5632,1913.66,63,racing,6/4/18 0:00,east-north-america
6989,3,Unicef,10.4127,-79.57,1913.68,63,racing,6/4/18 0:00,east-north-america
6990,4,Sanya Serenity Coast,10.404,-79.5656,1914.23,63,racing,6/4/18 0:00,east-north-america
6991,5,Dare To Lead,10.4017,-79.5602,1914.41,63,racing,6/4/18 0:00,east-north-america
6992,6,Visit Seattle,10.3952,-79.5626,1914.77,63,racing,6/4/18 0:00,east-north-america
6993,7,Qingdao,10.3952,-79.5575,1914.82,62,racing,6/4/18 0:00,east-north-america
6994,8,Garmin,10.3481,-79.4714,1918.72,59,racing,6/4/18 0:00,east-north-america
6995,9,GREAT Britain,10.3329,-79.4479,1920.02,61,racing,6/4/18 0:00,east-north-america
6996,10,PSP Logistics,10.2971,-79.4108,1922.78,61,racing,6/4/18 0:00,east-north-america
6997,11,Nasdaq,10.2219,-79.2939,1929.75,61,racing,6/4/18 0:00,east-north-america
6998,1,Liverpool 2018,10.5379,-79.6084,1905.97,61,racing,6/4/18 1:00,east-north-america
6999,2,Unicef,10.5361,-79.595,1906.14,61,racing,6/4/18 1:00,east-north-america
7000,3,Hotelplanner.com,10.5328,-79.5849,1906.42,61,racing,6/4/18 1:00,east-north-america
7001,4,Sanya Serenity Coast,10.5237,-79.5902,1906.92,61,racing,6/4/18 1:00,east-north-america
