,position,team,lat,lon,dtf,dist_mg,status,datetime,race
9332,3,Hotelplanner.com,40.71,-74.0421,2977.03,0,,6/15/18 12:00,north-atlantic
9336,4,Nasdaq,40.71,-74.0421,2977.03,0,,6/15/18 12:00,north-atlantic
9340,5,Unicef,40.7102,-74.0419,2977.03,0,,6/15/18 12:00,north-atlantic
9344,9,Garmin,40.7108,-74.0432,2977.1,0,,6/15/18 12:00,north-atlantic
9348,10,Visit Seattle,40.7109,-74.0432,2977.1,0,,6/15/18 12:00,north-atlantic
9352,11,GREAT Britain,40.7108,-74.0433,2977.1,0,,6/15/18 12:00,north-atlantic
9356,8,Liverpool 2018,40.7108,-74.0424,2977.07,0,,6/15/18 18:00,north-atlantic
9360,1,PSP Logistics,40.7099,-74.0418,2977.01,0,,6/15/18 19:56,north-atlantic
9364,6,Qingdao,40.71,-74.0423,2977.03,0,,6/15/18 20:00,north-atlantic
9368,6,Sanya Serenity Coast,40.7107,-74.0424,2977.06,0,,6/15/18 20:18,north-atlantic
9369,7,Sanya Serenity Coast,40.7107,-74.0424,2977.06,0,,6/15/18 20:18,north-atlantic
9373,2,Dare To Lead,40.7099,-74.0418,2977.02,0,,6/24/18 15:00,north-atlantic
9374,2,Dare To Lead,40.7099,-74.0419,2977.02,0,,6/24/18 16:00,north-atlantic
9375,2,Dare To Lead,40.7099,-74.0418,2977.01,0,,6/24/18 17:00,north-atlantic
9376,2,Dare To Lead,40.7099,-74.0418,2977.02,0,,6/24/18 18:00,north-atlantic
9377,1,Dare To Lead,40.7099,-74.0418,2977.02,0,,6/24/18 19:00,north-atlantic
9378,2,Hotelplanner.com,40.7099,-74.042,2977.02,0,,6/24/18 19:00,north-atlantic
9379,3,Unicef,40.7102,-74.0419,2977.03,0,,6/24/18 19:00,north-atlantic
9380,4,Liverpool 2018,40.7099,-74.0422,2977.03,0,,6/24/18 19:00,north-atlantic
9381,5,Qingdao,40.71,-74.0422,2977.03,0,,6/24/18 19:00,north-atlantic
9382,7,PSP Logistics,40.7107,-74.0427,2977.07,0,,6/24/18 19:00,north-atlantic
9383,8,GREAT Britain,40.7108,-74.0427,2977.08,0,,6/24/18 19:00,north-atlantic
9384,10,Visit Seattle,40.7108,-74.0432,2977.1,0,,6/24/18 19:00,north-atlantic
9385,11,Garmin,40.7108,-74.0433,2977.1,0,,6/24/18 19:00,north-atlantic
9386,9,Nasdaq,40.7108,-74.0432,2977.1,0,,6/24/18 19:01,north-atlantic
9387,1,Dare To Lead,40.7099,-74.0418,2977.02,0,,6/24/18 20:00,north-atlantic
9388,2,Hotelplanner.com,40.7099,-74.042,2977.02,0,,6/24/18 20:00,north-atlantic
9389,3,Unicef,40.7102,-74.0418,2977.03,0,,6/24/18 20:00,north-atlantic
9390,4,Liverpool 2018,40.71,-74.0422,2977.03,0,,6/24/18 20:00,north-atlantic
9391,5,Qingdao,40.71,-74.0422,2977.03,0,,6/24/18 20:00,north-atlantic
9392,6,PSP Logistics,40.7108,-74.0426,2977.07,0,,6/24/18 20:00,north-atlantic
9393,7,GREAT Britain,40.7108,-74.0427,2977.08,0,,6/24/18 20:00,north-atlantic
9394,8,Visit Seattle,40.7108,-74.0432,2977.1,0,,6/24/18 20:00,north-atlantic
9395,9,Nasdaq,40.7108,-74.0432,2977.1,0,,6/24/18 20:00,north-atlantic
9396,10,Garmin,40.7108,-74.0432,2977.1,0,,6/24/18 20:00,north-atlantic
9397,11,Sanya Serenity Coast,40.7109,-74.0432,2977.1,0,,6/24/18 20:00,north-atlantic
9398,1,Dare To Lead,40.7099,-74.0419,2977.02,0,,6/24/18 21:00,north-atlantic
9399,2,Hotelplanner.com,40.71,-74.042,2977.02,0,,6/24/18 21:00,north-atlantic
9400,3,Unicef,40.7103,-74.0418,2977.03,0,,6/24/18 21:00,north-atlantic
9401,4,Liverpool 2018,40.71,-74.0422,2977.03,0,,6/24/18 21:00,north-atlantic
9402,5,Qingdao,40.71,-74.0422,2977.03,0,,6/24/18 21:00,north-atlantic
9403,6,PSP Logistics,40.7108,-74.0427,2977.07,0,,6/24/18 21:00,north-atlantic
9404,7,GREAT Britain,40.711,-74.0427,2977.08,0,,6/24/18 21:00,north-atlantic
9405,8,Nasdaq,40.7109,-74.0431,2977.1,0,,6/24/18 21:00,north-atlantic
9406,9,Visit Seattle,40.7108,-74.0432,2977.1,0,,6/24/18 21:00,north-atlantic
9407,10,Garmin,40.7108,-74.0432,2977.1,0,,6/24/18 21:00,north-atlantic
9408,11,Sanya Serenity Coast,40.7109,-74.0432,2977.1,0,,6/24/18 21:00,north-atlantic
9409,1,Dare To Lead,40.7099,-74.0419,2977.02,0,,6/24/18 22:00,north-atlantic
9410,2,Hotelplanner.com,40.71,-74.042,2977.03,0,,6/24/18 22:00,north-atlantic
9411,3,Unicef,40.7102,-74.0419,2977.03,0,,6/24/18 22:00,north-atlantic
9412,4,Liverpool 2018,40.71,-74.0422,2977.03,0,,6/24/18 22:00,north-atlantic
9413,5,Qingdao,40.71,-74.0422,2977.03,0,,6/24/18 22:00,north-atlantic
9414,6,PSP Logistics,40.7108,-74.0426,2977.07,0,,6/24/18 22:00,north-atlantic
9415,7,GREAT Britain,40.7108,-74.0426,2977.08,0,,6/24/18 22:00,north-atlantic
9416,8,Visit Seattle,40.7108,-74.0432,2977.1,0,,6/24/18 22:00,north-atlantic
9417,9,Nasdaq,40.7109,-74.0432,2977.1,0,,6/24/18 22:00,north-atlantic
9418,10,Garmin,40.7108,-74.0433,2977.1,0,,6/24/18 22:00,north-atlantic
9419,11,Sanya Serenity Coast,40.7109,-74.0433,2977.1,0,,6/24/18 22:00,north-atlantic
9420,1,Dare To Lead,40.7099,-74.0419,2977.02,0,,6/24/18 23:00,north-atlantic
9421,2,Hotelplanner.com,40.7099,-74.042,2977.02,0,,6/24/18 23:00,north-atlantic
9422,3,Unicef,40.7102,-74.0419,2977.03,0,,6/24/18 23:00,north-atlantic
9423,4,Liverpool 2018,40.7099,-74.0422,2977.03,0,,6/24/18 23:00,north-atlantic
9424,5,Qingdao,40.71,-74.0423,2977.03,0,,6/24/18 23:00,north-atlantic
9425,6,PSP Logistics,40.7108,-74.0427,2977.07,0,,6/24/18 23:00,north-atlantic
9426,7,GREAT Britain,40.7108,-74.0426,2977.07,0,,6/24/18 23:00,north-atlantic
9427,8,Visit Seattle,40.7108,-74.0432,2977.1,0,,6/24/18 23:00,north-atlantic
9428,9,Nasdaq,40.7109,-74.0432,2977.1,0,,6/24/18 23:00,north-atlantic
9429,10,Garmin,40.7108,-74.0433,2977.1,0,,6/24/18 23:00,north-atlantic
9430,11,Sanya Serenity Coast,40.7109,-74.0433,2977.1,0,,6/24/18 23:00,north-atlantic
9431,1,Dare To Lead,40.7099,-74.0419,2977.02,0,,6/25/18 0:00,north-atlantic
9432,2,Hotelplanner.com,40.7099,-74.042,2977.02,0,,6/25/18 0:00,north-atlantic
9433,3,Unicef,40.7102,-74.0419,2977.03,0,,6/25/18 0:00,north-atlantic
9434,4,Liverpool 2018,40.7099,-74.0422,2977.03,0,,6/25/18 0:00,north-atlantic
9435,5,Qingdao,40.71,-74.0422,2977.03,0,,6/25/18 0:00,north-atlantic
9436,6,PSP Logistics,40.7107,-74.0427,2977.07,0,,6/25/18 0:00,north-atlantic
9437,7,GREAT Britain,40.7108,-74.0426,2977.07,0,,6/25/18 0:00,north-atlantic
9438,8,Visit Seattle,40.7108,-74.0432,2977.1,0,,6/25/18 0:00,north-atlantic
9439,9,Nasdaq,40.7108,-74.0432,2977.1,0,,6/25/18 0:00,north-atlantic
