,position,team,lat,lon,dtf,dif,dist_mg,last_report,status,finish_time,datetime
0,9,Visit Seattle,44.87516,176.08585,2611.72,2611.72,124,09 April 2018 18.00 (UTC),racing,,2018-04-09 18:00:00
1,9,Visit Seattle,44.95807,176.34366,2600.48,2600.48,124,09 April 2018 19.00 (UTC),racing,,2018-04-09 19:00:00
2,9,Visit Seattle,45.05442,176.597,2589.48,2589.48,125,09 April 2018 20.00 (UTC),racing,,2018-04-09 20:00:00
3,9,Visit Seattle,45.13192,176.84482,2578.86,2578.86,125,09 April 2018 21.00 (UTC),racing,,2018-04-09 21:00:00
4,9,Visit Seattle,45.23316,177.06085,2569.68,2569.68,125,09 April 2018 22.00 (UTC),racing,,2018-04-09 22:00:00
5,9,Visit Seattle,45.25757,177.28257,2560.33,2560.33,123,09 April 2018 23.00 (UTC),racing,,2018-04-09 23:00:00
6,9,Visit Seattle,45.16976,177.48597,2551.71,2551.71,118,10 April 2018 00.00 (UTC),racing,,2018-04-10 00:00:00
7,9,Visit Seattle,45.06085,177.70647,2542.47,2542.47,113,10 April 2018 01.00 (UTC),racing,,2018-04-10 01:00:00
8,9,Visit Seattle,44.95136,177.91607,2533.82,2533.82,110,10 April 2018 02.00 (UTC),racing,,2018-04-10 02:00:00
9,9,Visit Seattle,44.841229999999996,178.12989,2525.16,2525.16,107,10 April 2018 03.00 (UTC),racing,,2018-04-10 03:00:00
10,9,Visit Seattle,44.76189,178.33559,2516.83,2516.83,106,10 April 2018 04.00 (UTC),racing,,2018-04-10 04:00:00
11,9,Visit Seattle,44.795190000000005,178.52935,2508.44,2508.44,104,10 April 2018 05.00 (UTC),racing,,2018-04-10 05:00:00
12,9,Visit Seattle,44.83024,178.71501999999998,2500.39,2500.39,101,10 April 2018 06.00 (UTC),racing,,2018-04-10 06:00:00
13,9,Visit Seattle,44.86299,178.89014,2492.81,2492.81,98,10 April 2018 07.00 (UTC),racing,,2018-04-10 07:00:00
14,9,Visit Seattle,44.83258,179.10499,2483.83,2483.83,97,10 April 2018 08.00 (UTC),racing,,2018-04-10 08:00:00
15,9,Visit Seattle,44.75504,179.32148999999998,2475.07,2475.07,100,10 April 2018 09.00 (UTC),racing,,2018-04-10 09:00:00
16,9,Visit Seattle,44.701609999999995,179.50015,2467.86,2467.86,99,10 April 2018 10.00 (UTC),racing,,2018-04-10 10:00:00
17,9,Visit Seattle,44.67777,179.71692,2458.87,2458.87,99,10 April 2018 11.00 (UTC),racing,,2018-04-10 11:00:00
18,9,Visit Seattle,44.67818,179.96344,2448.44,2448.44,98,10 April 2018 12.00 (UTC),racing,,2018-04-10 12:00:00
19,9,Visit Seattle,44.66259,-179.82262,2439.54,2439.54,97,10 April 2018 13.00 (UTC),racing,,2018-04-10 13:00:00
20,9,Visit Seattle,44.62321,-179.58576000000002,2429.93,2429.93,98,10 April 2018 14.00 (UTC),racing,,2018-04-10 14:00:00
21,9,Visit Seattle,44.57715,-179.36083,2420.98,2420.98,98,10 April 2018 15.00 (UTC),racing,,2018-04-10 15:00:00
22,9,Visit Seattle,44.534620000000004,-179.14878000000002,2412.64,2412.64,100,10 April 2018 16.00 (UTC),racing,,2018-04-10 16:00:00
23,9,Visit Seattle,44.50459,-178.95555,2405.03,2405.03,101,10 April 2018 17.00 (UTC),racing,,2018-04-10 17:00:00
24,9,Visit Seattle,44.49515,-178.75118999999998,2396.72,2396.72,103,10 April 2018 18.00 (UTC),racing,,2018-04-10 18:00:00
25,9,Visit Seattle,44.49473,-178.55011000000002,2388.46,2388.46,102,10 April 2018 19.00 (UTC),racing,,2018-04-10 19:00:00
26,9,Visit Seattle,44.49473,-178.55011000000002,2388.46,2388.46,92,10 April 2018 19.00 (UTC),racing,,2018-04-10 19:00:00
27,8,Visit Seattle,44.53171,-178.17415,2372.43,2372.43,99,10 April 2018 21.00 (UTC),racing,,2018-04-10 21:00:00
28,9,Visit Seattle,44.56612,-177.99428999999998,2364.47,2364.47,97,10 April 2018 22.00 (UTC),racing,,2018-04-10 22:00:00
29,9,Visit Seattle,44.59965,-177.80982,2356.35,2356.35,95,10 April 2018 23.00 (UTC),racing,,2018-04-10 23:00:00
30,9,Visit Seattle,44.63885,-177.6722,2350.04,2350.04,91,11 April 2018 00.00 (UTC),racing,,2018-04-11 00:00:00
31,9,Visit Seattle,44.689009999999996,-177.52796999999998,2343.27,2343.27,87,11 April 2018 01.00 (UTC),racing,,2018-04-11 01:00:00
32,9,Visit Seattle,44.73827,-177.42225,2338.13,2338.13,83,11 April 2018 02.00 (UTC),racing,,2018-04-11 02:00:00
33,9,Visit Seattle,44.7628,-177.27149,2331.55,2331.55,81,11 April 2018 03.00 (UTC),racing,,2018-04-11 03:00:00
34,9,Visit Seattle,44.72896,-177.06142,2323.63,2323.63,82,11 April 2018 04.00 (UTC),racing,,2018-04-11 04:00:00
35,9,Visit Seattle,44.708,-176.81615,2314.53,2314.53,83,11 April 2018 05.00 (UTC),racing,,2018-04-11 05:00:00
36,9,Visit Seattle,44.680640000000004,-176.58191000000002,2306.95,2306.95,84,11 April 2018 06.00 (UTC),racing,,2018-04-11 06:00:00
37,9,Visit Seattle,44.64412,-176.35907,2301.91,2301.91,77,11 April 2018 07.00 (UTC),racing,,2018-04-11 07:00:00
38,9,Visit Seattle,44.5928,-176.12935,2300.69,2300.69,87,11 April 2018 08.00 (UTC),racing,,2018-04-11 08:00:00
39,9,Visit Seattle,44.55749,-175.90474,2274.07,2274.07,89,11 April 2018 09.00 (UTC),racing,,2018-04-11 09:00:00
40,9,Visit Seattle,44.5375,-175.68202,2264.77,2264.77,91,11 April 2018 10.00 (UTC),racing,,2018-04-11 10:00:00
41,9,Visit Seattle,44.52044,-175.42671,2254.07,2254.07,96,11 April 2018 11.00 (UTC),racing,,2018-04-11 11:00:00
42,9,Visit Seattle,44.47579,-175.15646,2242.96,2242.96,102,11 April 2018 12.00 (UTC),racing,,2018-04-11 12:00:00
43,9,Visit Seattle,44.4405,-174.89362,2232.11,2232.11,109,11 April 2018 13.00 (UTC),racing,,2018-04-11 13:00:00
44,9,Visit Seattle,44.41192,-174.6254,2220.99,2220.99,115,11 April 2018 14.00 (UTC),racing,,2018-04-11 14:00:00
45,9,Visit Seattle,44.38984,-174.35931000000002,2209.91,2209.91,117,11 April 2018 15.00 (UTC),racing,,2018-04-11 15:00:00
46,9,Visit Seattle,44.36146,-174.08516,2198.56,2198.56,118,11 April 2018 16.00 (UTC),racing,,2018-04-11 16:00:00
47,9,Visit Seattle,44.35032,-173.8526,2188.82,2188.82,118,11 April 2018 17.00 (UTC),racing,,2018-04-11 17:00:00
48,9,Visit Seattle,44.34062,-173.60256,2178.34,2178.34,119,11 April 2018 18.00 (UTC),racing,,2018-04-11 18:00:00
49,9,Visit Seattle,44.329229999999995,-173.33848999999998,2167.29,2167.29,120,11 April 2018 19.00 (UTC),racing,,2018-04-11 19:00:00
50,9,Visit Seattle,44.33164,-173.07296000000002,2156.04,2156.04,122,11 April 2018 20.00 (UTC),racing,,2018-04-11 20:00:00
51,9,Visit Seattle,44.32832,-172.79927,2144.51,2144.51,124,11 April 2018 21.00 (UTC),racing,,2018-04-11 21:00:00
52,9,Visit Seattle,44.325379999999996,-172.51207,2132.42,2132.42,125,11 April 2018 22.00 (UTC),racing,,2018-04-11 22:00:00
53,9,Visit Seattle,44.33057,-172.22777,2120.37,2120.37,125,11 April 2018 23.00 (UTC),racing,,2018-04-11 23:00:00
54,8,Visit Seattle,44.33388,-171.94221000000002,2108.3,2108.3,126,12 April 2018 00.00 (UTC),racing,,2018-04-12 00:00:00
55,8,Visit Seattle,44.34046,-171.66093999999998,2096.38,2096.38,127,12 April 2018 01.00 (UTC),racing,,2018-04-12 01:00:00
